ID_its,1650_59,1660_69
1,0,0
2,662.01,0
3,191.36,0
4,1625.28,0
5,475.62,0
6,338.29,0
7,326.26,377.42
8,110.05,3062.48
9,0,1059.2
10,0,1236.4
11,1717.51,792.96
12,155.21,615.22
13,227.1,554.39
14,151.22,1046.46
15,0,1097.39
16,0,0
17,268.1,44.61
18,0,0
19,1614.98,908.27
20,454.28,231
21,0,0
22,458.3,378.07
23,0,186.74
24,674.99,522.74
25,79.99,986.77
26,218.89,224.73
27,572.92,0
28,133.58,1212.42
29,0,0
30,516.91,972.45
31,0,645.79
32,56.48,442.09
33,477.74,463.46
34,931,0
35,2471.17,1944.41
36,0,2316.3
37,0,69.97
38,223.15,821.3
39,363.11,659.82
40,142.75,0
41,10.84,862.81
42,119.74,0
43,892.41,690.49
44,36.65,0
45,0,0
46,317.7,0
47,440.4,0
48,346.68,172.96
49,169.78,0
50,3225.81,646.53
51,0,0
52,53.05,0
53,0,0
54,1017.05,0
55,581.64,282.02
56,87.8,0
57,0,0
58,0,757.74
59,0,0
60,0,0
61,1001,0
62,0,0
63,0,657.4
64,0,1038.42
65,0,594.18
66,0,1776.2
67,234.36,283.97
68,0,309.98
69,0,0
70,1274.83,0
71,264.9,0
72,2622.99,215.05
73,1346.1,452.49
74,1323.91,242.13
75,1361.82,453.82
76,820.17,369.69
77,987.12,715.25
78,0,3994.92
79,297.15,747.01
80,1366.76,3537.16
81,353.27,729.93
82,725.26,890.9
83,613.87,1085.3
84,912.77,3813.56
85,1984.94,0
86,777.3,0
87,0,3066.36
88,0,292.18
89,753.25,0
90,1023.37,61.95
91,1005.44,124.14
92,1321,0
93,670.35,0
94,740.32,0
95,144.78,31.16
96,633.31,966.61
97,112.05,169.05
98,89.04,95.27
99,0,316.57
100,0,509.94
101,102.27,708.47
102,338.47,1237.68
103,66.46,51.85
104,0,0
105,319.49,449.78
106,764.38,0
107,0,0
108,0,506.59
109,166.56,549.05
110,417.79,0
111,480.5,2510.96
112,362.58,171.06
113,304.88,266.9
114,107.64,420.83
115,175.44,1542.72
116,2222.04,54.36
117,191.25,5305.17
118,1238.01,800.87
119,522.06,534
120,1227.37,333.78
121,0,272.18
122,295.28,218.71
123,62.58,945.48
124,0,46.26
125,0,618.42
126,159.74,880.04
127,2312.19,407.83
128,0,664.67
129,391.67,904.86
130,497.59,0
131,931.58,891.46
132,41,387.13
133,188.26,1256.05
134,3508.89,0
135,2180.45,420.08
136,1840.86,0
137,2611.67,906.09
138,3142.56,1089.58
139,6004.46,1007.47
140,422.39,509.01
141,222.47,0
142,26.88,965.09
143,192.39,714.29
144,431.06,529.3
145,1248.65,2203.19
146,3051.76,887.87
147,3665.41,0
148,46.58,431.13
149,1133.09,314.17
150,464.33,398.17
151,1708.07,128.5
152,0,0
153,2531.42,0
154,805.8,0
155,297,113.82
156,220.9,75.48
157,25.92,198.05
158,1466.51,1474.93
159,0,1217.14
160,127.1,539.28
161,257.71,2954.6
162,0,1612.29
163,881.77,875.66
164,142.05,651.23
165,0,857.63
166,248.88,201.65
167,878.48,411.09
168,490.42,0
169,77.19,4004.58
170,403.71,111.62
171,220.53,0
172,176.86,342.2
173,96.71,243.52
174,24,0
175,24.2,171.66
176,1888.72,1532.86
177,344.06,312.3
178,843.66,0
179,0,194.78
180,84.82,696.2
181,0,187.34
182,0,411.95
183,653.17,1404.92
184,217.56,0
185,86.13,117.12
186,106.72,126.28
187,82.8,0
188,23.94,204.79
189,73.67,0
190,1049.98,876.77
191,0,563.38
192,0,216.14
193,71.83,343.38
194,29,1730.1
195,0,0
196,144.78,227.68
197,0,245.26
198,309.79,254.68
199,1665.43,1867.45
200,3352.4,1220.36
201,69.14,541.93
202,335.43,815
203,469.1,0
204,952.27,425.41
205,469.36,240.28
206,403.13,136.89
207,298.54,102.12
208,410.22,2302.42
209,1302.66,4585.69
210,984,779.59
211,667.5,0
212,1383.37,1968.5
213,0,0
214,0,464.45
215,553.17,263.75
216,604.41,408.6
217,352.36,4048.77
218,734.43,0
219,787.49,0
220,642.09,568.84
221,243.37,63.92
222,0,430.85
223,408.75,0
224,0,0
225,1270.81,1618.79
226,551.39,2284.35
227,557.03,2882.17
228,1175.83,1820.23
229,385.02,3530.49
230,406.83,1716.03
231,543.33,2409.3
232,814.44,813.69
233,847.94,2922.77
234,1943.84,1225.46
235,1054.48,457.67
236,179.9,0
237,1476.21,0
238,308.07,0
239,393.29,251.08
240,1158.75,88.44
241,433.84,241.43
242,68.01,0
243,174.46,0
244,153.84,271.92
245,158.78,258.4
246,224.62,383.41
247,150.26,283.65
248,278.67,0
249,63.78,25.2
250,341.23,0
251,1321.03,896.29
252,442.23,320
253,0,732.33
254,2265.52,221.81
255,693.77,0
256,242.39,0
257,454.17,707.21
258,0,210.08
259,0,348.19
260,329.94,164.91
261,0,0
262,0,319.35
263,919.12,30.13
264,694.55,60.2
265,0,0
266,0,0
267,146.58,650.2
268,0,0
269,0,0
270,432.9,574.08
271,580.89,441.92
272,554.48,0
273,0,0
274,123.33,201.32
