ID_must,1650_59,1660_69
1,0,0
2,3550.79,0
3,1011.45,0
4,902.93,1963.41
5,237.81,1390.58
6,2329.02,0
7,2349.07,1962.56
8,2597.12,1549.6
9,0,2177.91
10,1428.57,1506.87
11,490.72,2061.69
12,403.55,1230.44
13,843.53,1330.52
14,1474.42,2720.8
15,0,2926.38
16,406.11,0
17,1608.58,1338.45
18,306.02,0
19,492.37,2162.54
20,1752.22,0
21,0,115.7
22,152.77,378.07
23,0,373.48
24,1012.49,1045.48
25,2297.42,986.77
26,2544.6,44.95
27,2979.2,475.4
28,0,8486.91
29,907.11,822.5
30,1476.89,648.3
31,1315.79,645.79
32,931.94,1547.3
33,608.03,1853.85
34,1344.78,871.84
35,823.72,0
36,1543.45,0
37,566.37,439.79
38,1992.44,2046.6
39,847.25,1649.56
40,1332.32,432.06
41,281.79,3451.25
42,239.48,0
43,814.81,863.11
44,842.89,899.28
45,516.17,4901.96
46,847.19,0
47,414.49,2218.93
48,866.7,265.2
49,622.52,390.57
50,0,2632.31
51,0,1094.09
52,663.11,2609.6
53,465.81,2191.78
54,801.99,0
55,1783.68,760.8
56,371.48,0
57,0,0
58,0,974.24
59,0,2428.03
60,0,1529.93
61,1001,0
62,0,0
63,973.71,596.95
64,0,3634.48
65,0,1188.35
66,0,0
67,1171.78,1313.36
68,1642.94,309.98
69,1485.88,0
70,402.58,491.88
71,5562.91,1771.87
72,757.75,215.05
73,2186.15,904.98
74,2312.42,807.1
75,2298.07,1285.83
76,1913.74,1035.12
77,2965.47,1192.08
78,1779.51,1634.28
79,594.29,1942.23
80,1602.41,2107.24
81,3217.05,0
82,3327.34,274.12
83,4501.74,0
84,2075.55,635.59
85,1911.62,865.5
86,1813.71,0
87,1864.58,1204.64
88,552.41,730.46
89,2626,121.37
90,2335.55,1084.06
91,2049.38,695.17
92,3019.44,3383.28
93,3229.87,0
94,3109.34,0
95,987.15,202.51
96,0,1311.82
97,656.27,633.93
98,1869.82,428.7
99,2313.33,54.27
100,1016.26,2039.78
101,1022.7,0
102,676.93,367.63
103,1196.33,622.25
104,0,1894.34
105,638.98,1399.3
106,416.93,538.21
107,153.49,0
108,255.9,1519.76
109,333.11,956.41
110,388.12,6535.95
111,462.71,717.42
112,725.16,513.17
113,152.44,756.21
114,502.31,1762.23
115,526.32,1448.97
116,497.64,1322.82
117,1004.06,505.25
118,928.51,364.03
119,1305.14,890
120,920.53,1899.08
121,597.08,1905.23
122,1848.4,1880.93
123,1157.7,2923.72
124,953.15,4024.8
125,1520.91,2053.47
126,638.98,3498.28
127,707.81,2786.84
128,768.79,2658.69
129,2248.18,2400.5
130,1419.58,1397.62
131,332.71,3473
132,737.92,1200.11
133,525.72,1918.33
134,1679.47,579.21
135,4230.08,1782.91
136,1543.94,1202.16
137,3349.39,2782.99
138,2346.15,1829.68
139,2680.42,1955.67
140,0,1425.23
141,311.46,3158.31
142,548.39,2030.02
143,657.35,510.2
144,1539.5,1956.09
145,1436.3,1502.18
146,1780.19,1522.07
147,2114.66,1049.32
148,1630.3,646.69
149,2727.1,628.34
150,9170.58,995.42
151,1242.24,1028.01
152,1388.08,634.52
153,904.08,1197.6
154,495.88,632.64
155,475.2,2466.14
156,800.75,2566.43
157,1697.88,2204.91
158,1010.27,1474.93
159,546.75,1054.85
160,1398.07,898.8
161,2834.81,170.16
162,0,379.36
163,834.11,1751.31
164,1041.72,1662.72
165,196.58,428.82
166,497.76,403.31
167,1756.95,456.77
168,895.01,1207.73
169,656.16,2288.33
170,468.82,762.76
171,456.82,211.51
172,589.52,293.31
173,483.56,852.31
174,2172.01,0
175,916.54,1115.78
176,550.88,563.28
177,412.87,312.3
178,896.39,752.59
179,0,779.12
180,2035.8,1566.44
181,472.87,374.67
182,1395.19,0
183,653.17,1784.86
184,761.45,514.51
185,499.55,819.86
186,533.58,707.2
187,331.19,1131.86
188,1388.72,1297.02
189,349.91,0
190,0,1833.25
191,2383.07,2816.9
192,1577.56,720.46
193,1472.44,814.29
194,1856.2,0
195,2182.1,3106.1
196,2171.71,3825.01
197,75.34,919.74
198,929.37,636.7
199,647.67,1881.49
200,738.66,1917.71
201,342.83,449.9
202,575.02,4074.98
203,312.73,661.81
204,1785.5,354.51
205,553.18,154.02
206,1447.6,1916.5
207,1349.91,204.25
208,1274.73,1707.63
209,1091.13,1393.79
210,1195.2,1683.92
211,1320.34,0
212,2593.81,5905.51
213,0,1349.31
214,0,893.18
215,4701.98,395.62
216,604.41,675.76
217,234.91,1615.84
218,881.32,0
219,449.99,0
220,540.7,1159.56
221,892.35,319.61
222,1219.12,3877.64
223,2145.92,1022.7
224,953.9,1358.7
225,2795.78,933.59
226,551.39,715.99
227,557.03,1422.12
228,994.93,855.51
229,1251.32,1972.92
230,678.06,798.5
231,271.67,578.23
232,1357.4,1192.8
233,282.65,1060.68
234,1943.84,923.14
235,0,457.67
236,629.67,0
237,536.8,2928.69
238,462.11,629.52
239,917.67,1793.4
240,115.87,619.09
241,2034.38,3138.58
242,2051.28,2374.17
243,1409.79,0
244,1167.37,1196.43
245,1905.35,1291.99
246,4252.35,306.72
247,2247.07,1536.46
248,1522.85,2895.19
249,1116.12,2292.83
250,1720.97,318.18
251,1896.32,384.12
252,1289.06,320
253,427.75,1098.5
254,1460,1737.52
255,441.49,446.83
256,605.99,0
257,181.67,1414.43
258,345.18,1050.42
259,356.25,348.19
260,1089.58,3133.25
261,0,884.81
262,0,745.16
263,873.16,436.85
264,933.3,120.41
265,744.76,2776.72
266,297.16,893.26
267,9234.83,650.2
268,837.87,0
269,0,1569.86
270,1298.7,1958.18
271,871.33,1790.35
272,138.62,1459.25
273,0,0
274,1685.51,313.16
275,273.22,1979.18
276,0,554.68
277,1198.56,1905.37
278,655.74,1123.63
279,3683.24,441.11
280,1260.74,651.71
281,861.33,1519.93
282,0,2545.44
283,2727.77,1831.5
284,519.82,0
285,959.08,661.52
286,2411.41,994.57
287,1071.18,2751.03
288,0,1347.03
289,1682.37,1762.31
290,3105.59,1135.69
291,1652.45,987.05
292,1916.88,2141.42
293,479.81,1940.06
294,844.06,1725.31
295,3542.11,182.08
296,1226.45,831.88
297,2089.32,1060.6
298,1074.34,1449.95
299,411.43,867.75
300,903.98,963.55
301,3346.72,286.86
302,0,2402.88
303,940.29,7739.42
304,1560.87,2419.63
305,0,0
306,882.05,1003.34
307,840.47,1468.43
308,0,535.29
309,1640.82,2495.46
310,415.71,0
311,1677.79,3865.72
312,0,1016
313,1709.57,0
314,481.23,326.34
315,521.38,861.9
316,513.45,1193.58
317,240.67,750.19
318,0,1550.24
319,1117.32,2095.21
320,810.21,1578.01
321,781.15,357.4
322,0,809.77
323,0,2157.64
324,395.57,1692.62
325,665.78,682.59
326,795.54,1921.71
327,1592.75,1576.32
328,367.94,686.6
329,1745.2,1643.9
330,125.04,1644.42
331,537.04,0
332,181.07,0
333,3441.26,547.8
334,277.32,1064.93
335,1861.41,1129.83
336,9.15,0
337,2001.33,0
338,1200.74,0
339,1459.5,748.5
340,1502.16,0
341,0,0
342,1435.34,1063.4
343,0,758.99
344,1425.94,1744.69
345,1164.98,514.45
346,939.1,289.03
347,1555.45,1177.39
348,0,512.62
349,765.53,1106.54
350,446.93,0
351,1140.46,0
352,845.55,472.69
353,1453.88,849.58
354,1051.72,1715.44
355,1462.36,1652.07
356,2508.69,2550.21
357,1197,0
358,815.55,0
359,70.32,180.05
360,298.04,995.69
361,1630.32,887.22
362,0,0
363,1889.84,254.91
364,2501.7,868.56
365,3999.91,2392.34
366,1456.98,390.7
367,1535.9,2441.19
368,0,218.77
369,849.21,1836.88
370,2810.68,982.53
371,871.92,770.13
372,2130.47,323.72
373,1792.11,1312.02
374,2168.69,2254.79
375,1079.87,2057.41
376,937.05,1209.19
377,535.28,2598.53
378,1145.36,1836.55
379,1316.56,752.45
380,226.06,1166.79
381,495.96,2010.72
382,45.34,2799.16
383,495.95,0
384,1696.98,0
385,814.46,0
386,120.5,0
387,369.53,0
388,1949.79,302.94
389,880.11,302.39
390,1902.75,0
391,1235.2,1306.05
392,2196.19,0
393,824.4,826.86
394,1444.43,827.81
395,781.3,0
396,1064.21,3875.97
397,1570.63,0
398,1350.41,0
399,0,276.93
400,0,3490.4
401,0,1996.01
402,0,2298.85
403,0,6465.52
404,0,629.72
405,0,1156.74
406,0,795.86
407,0,0
408,965.25,0
409,0,0
410,1288.69,0
411,529.94,0
412,0,0
413,4665.63,0
414,2819.21,0
415,0,0
416,1109.88,0
417,1277.02,0
418,279.79,0
419,698.62,0
420,821.5,0
421,1236.63,0
422,1924.23,0
423,0,0
424,754.32,0
425,1208.14,0
426,382.21,0
427,983.18,0
428,0,0
429,1971.09,0
430,330.14,0
431,1697.79,0
432,1759.6,0
433,1654.43,0
434,715.31,0
435,0,0
436,2552.82,0
437,765.36,0
438,0,0
439,483.01,0
440,0,0
441,844.86,0
442,0,1883.24
443,899,0
444,637.48,0
445,1236.32,0
446,866.98,0
447,1189.94,0
448,1841.32,0
449,996.59,0
450,446.53,0
451,4159.49,0
452,771.52,0
453,2863.69,0
454,288.77,0
455,1255.09,0
456,1408.74,0
457,0,0
458,0,0
459,0,0
460,0,0
461,1142.86,0
462,603.14,0
463,640.26,0
464,1404.49,0
465,2451.59,0
466,1644.74,0
467,847.77,0
468,283.67,3215.43
469,416.19,0
470,645.16,0
471,2029.69,0
472,152.59,0
473,0,0
474,0,0
475,1092.52,0
476,2058.58,0
477,798.24,0
478,2516.86,0
479,1582.47,0
480,622.75,0
481,1433.02,0
482,0,791.14
483,221.16,2702.7
484,706.44,2702.7
485,279.96,1703.58
486,806.75,1700.68
487,1974.16,2127.66
488,473.15,1992.03
489,1221.09,1805.05
490,1169.62,1760.56
491,3646.03,0
492,1501.83,0
493,291.55,0
494,0,0
495,477.49,0
496,472.92,0
497,1298.05,0
498,1573.2,0
499,0,0
500,1792.61,0
501,1001.35,0
502,679.58,342.31
503,918.1,316.71
504,1263.42,322.72
505,0,1120.25
506,1785.71,967.22
507,0,1964.64
508,0,464.68
509,0,3356.64
510,0,349.34
511,0,940.73
512,0,393.24
513,0,2007.33
514,0,494.07
515,719.85,2142.13
516,226.53,792.71
517,0,1728.72
518,2271.69,0
519,1748.85,0
520,734.84,0
521,1250.55,0
522,506.41,0
523,1026.43,0
524,0,0
525,0,266.81
526,0,480.15
527,0,1673.72
528,0,1091.89
529,0,2626.55
530,0,1172.79
531,0,0
532,0,586.26
533,0,58.35
534,0,626.31
535,0,113.17
536,0,526.37
537,0,136.31
538,0,146.46
539,1299.53,310.29
540,1201.47,0
541,1209.19,0
542,3523.92,2398.26
543,0,161.2
544,0,1205.86
545,0,2292.14
546,0,2726.82
547,0,1283.25
548,0,1295.55
549,0,476.15
550,0,295.42
551,684.93,243.39
552,0,420.24
553,851.24,1412.78
554,1467.25,2793.19
555,2747.25,290.22
556,1067.81,172.05
557,777.19,622.47
558,863.75,819.96
559,0,550.96
560,762.04,582.02
561,239.78,2107.48
562,512.46,2011.86
563,0,4103.97
564,2224.5,2142.7
565,1928.52,1314.06
566,1361.4,0
567,878.04,123.23
568,1117.01,674.58
569,782.09,1794.62
570,1018.57,842.52
571,2544.53,0
572,525,1722.65
573,2596.25,421.21
574,1548.63,0
575,444.15,3654.08
576,425.17,882.99
577,0,1679.26
578,1168.57,848.25
579,532.72,1451.87
580,0,0
581,2801.12,0
582,591.6,1656.62
583,1901.61,1485.27
584,3198.22,2370.37
585,2906.13,831.32
586,2494.28,1528.42
587,896.86,4454.69
588,956.33,2607.23
589,533.25,3142.61
590,0,2426.45
591,0,2246.03
592,0,541.86
593,0,963.64
594,663.13,0
595,1609.69,0
596,1615.89,4369.99
597,0,1469.15
598,1273.51,2267.36
599,0,589.58
600,1618.12,1477.92
601,166.89,912.3
602,887.05,1294.5
603,892.72,601.2
604,597.32,819.43
605,640.15,3494.06
606,1037.18,1196.89
607,361.79,1341.38
608,862.15,1150.83
609,969.14,1542.02
610,624.8,3078.82
611,167.45,1195
612,514.14,2034.59
613,1730.32,3066.14
614,1266.95,1063.04
615,2058.16,208.94
616,2183.12,1156.62
617,2349.19,1272.89
618,1305.66,1718.56
619,1943.1,1982.55
620,7693.6,2001.62
621,1913.39,1059.7
622,3224.14,2919.12
623,871.08,3506.01
624,628.14,1295.78
625,1948.07,304.22
626,0,334.17
627,0,952.48
628,149.69,1095.05
629,449.03,1951.85
630,2409.64,0
631,937.42,1455.6
632,475.74,3242.24
633,425.69,3580.56
634,0,9823.18
635,4449.39,0
636,5159.47,1900.16
637,0,0
638,1334.79,999.25
639,274.5,1309.54
640,0,0
641,730.57,1616.81
642,1291.36,666.67
643,0,483.25
644,0,1678.2
645,1814.88,836.94
646,2504.39,1356.55
647,1466.19,1373.87
648,3126.4,1079.33
649,127.05,1081.83
650,716.73,277.01
651,1253.56,5029.34
652,212.87,397.09
653,998.64,0
654,978.17,1356.85
655,560.37,0
656,1656.62,1948.58
657,1597.8,667.58
658,1084.04,904.48
659,950.97,454.96
660,2320.19,315.86
661,671.11,0
662,1445.92,0
663,951.38,287.77
664,801.86,271.52
665,111.33,613.87
666,2024.29,0
667,147.71,234.63
668,169.01,0
669,655.26,126.1
670,0,273.22
671,1644.74,1259.4
672,912.04,1129.23
673,1298.93,3041.42
674,0,2709.52
675,693.4,3207.32
676,3592.99,1263.06
677,736.24,415.02
678,442.09,792.35
679,761.5,466.93
680,1513.07,0
681,2754.06,497.51
682,1214.33,9685.23
683,761.9,2073.91
684,0,1936.64
685,287.67,878.9
686,1974.33,2175.16
687,1411.1,1064.94
688,439.72,0
689,2001.56,973.95
690,1491.27,2237.56
691,1737.59,1824.82
692,2352.62,880.17
693,0,2708.98
694,618.32,1000
695,503.77,645.88
696,915.69,314.02
697,1263.99,1577.29
698,2257.34,1524.22
699,1305.21,1661.77
700,112.23,0
701,838.93,1447.88
