Year,red,blue,green,yellow,orange,grey
1600,38.13,0.15,33.34,6.28,6.28,1.05
1601,64.43,1.01,41.61,23.16,23.16,0
1602,45.3,1.2,21.79,7.38,7.38,0.34
1603,33.03,0.45,25.79,7.99,7.99,1.66
1604,24.6,0.96,21.33,3.46,3.46,2.69
1605,244.62,2.37,29.69,106.4,106.4,0.95
1606,43.02,0.85,20.1,14.43,14.43,0.71
1607,52.76,1.87,36.56,17.01,17.01,0.4
1608,35.63,0.54,32.05,11.1,11.1,0.36
1609,36.87,1.43,25.3,9.62,9.62,0.89
1610,28.25,0.45,28.4,13.97,13.97,0.59
1611,35.88,1.29,28.15,14.35,14.35,0.55
1612,41.45,0.7,26,9.72,9.72,0.47
1613,55.64,1.17,25.23,15.71,15.71,1
1614,46.81,0.45,28.63,10.59,10.59,0.3
1615,49.99,2.45,32.42,28.61,28.61,0.54
1616,84.84,3.28,60.52,31.04,31.04,1.03
1617,37.47,1.57,23.78,10.1,10.1,0.67
1618,36.2,1.13,44.83,19.13,19.13,1.5
1619,23.11,0.38,20.83,4.73,4.73,0.19
1620,32.83,0.49,27.46,10.08,10.08,0.33
1621,38.87,0.84,28.63,14.42,14.42,0
1622,35.1,1.75,24.24,11.64,11.64,0.39
1623,34.28,2.57,31.56,9.67,9.67,1.06
1624,31.38,8.09,19.25,5.01,5.01,0
1625,70.06,6.58,43.51,21.47,21.47,3.35
1626,29.24,0.62,16.93,8.62,8.62,0.92
1627,56.14,1.78,35.38,9.49,9.49,0.2
1628,35.09,2.83,24.05,10.75,10.75,0.85
1629,103.52,1.77,126.57,134.62,134.62,0.14
1630,38.18,6.39,28.68,9.01,9.01,1.31
1631,29.63,1.42,22.26,9.07,9.07,0.57
1632,39.8,1.11,18.55,5.65,5.65,0.49
1633,132.72,2.9,137.62,138.29,138.29,0.22
1634,140.74,2.05,95.19,40.09,40.09,2.05
1635,54.07,2.44,31.92,13.52,13.52,0.14
1636,66.53,1.26,32.14,8.54,8.54,0
1637,44.87,2.26,25.45,16.4,16.4,0.94
1638,41.23,0.84,25.24,8.41,8.41,1.35
1639,57.05,2.89,38.35,15.03,15.03,0.77
1640,118.76,7.24,224.16,189.6,189.6,1.22
1641,40.94,1.69,24.29,11,11,0.1
1642,18.63,1.16,16.42,2.91,2.91,0
1643,36.92,1.82,13.99,3.36,3.36,0.14
1644,41.98,2.43,18.14,6.43,6.43,0.14
1645,19.48,0.81,13.2,1.45,1.45,0.81
1646,24.17,1.59,16.21,2.69,2.69,0
1647,25.43,2.13,19.47,2.55,2.55,0.43
1648,22.02,1.38,16.22,3.64,3.64,0
1649,49.55,3.17,26.05,15.46,15.46,0.24
1650,39.22,1.27,20.72,5.48,5.48,0.64
1651,69.93,2.42,37.12,25.99,25.99,1.04
1652,55.72,4.6,53.18,24.53,24.53,0.79
1653,63.36,2.29,40.37,23.54,23.54,0.83
1654,33.62,1.08,20.5,7.39,7.39,1.66
1655,69.39,1.89,25.62,18.3,18.3,0.89
1656,40.17,1.19,24.27,15.03,15.03,0.81
1657,66.52,2.04,40.43,26.79,26.79,1.62
1658,58.07,1.96,37.69,25.43,25.43,1.5
1659,50.92,1.23,28.35,16.83,16.83,0.31
1660,38.06,1.08,24.19,10.17,10.17,0.89
1661,39.71,0.94,31.1,10.21,10.21,0.71
1662,51.4,1.61,28.15,13.61,13.61,1.38
1663,47.66,1.13,21.4,13.02,13.02,1.13
1664,120.8,0.35,57.2,65.36,65.36,4.56
1665,96.78,4,50.9,57.23,57.23,2.05
1666,54.78,5.4,39.16,24.88,24.88,4.44
1667,18.5,0.34,13.58,4.07,4.07,1.36
1668,45.11,5.89,24.79,15.1,15.1,2.28
1669,53.37,0.88,36.08,18.79,18.79,3.13
1670,90.45,3.91,49.25,36.86,36.86,1.52
1671,76.13,10.4,34.63,25.63,25.63,4.07
1672,26.31,0.75,19.59,9.52,9.52,1.12
1673,54.13,4.08,33.87,33.87,33.87,2.48
1674,25.85,1.04,19.6,9.28,9.28,2.65
1675,42.2,2.5,28.57,17.99,17.99,1.69
1676,32.28,1.37,23.97,12.98,12.98,3.92
1677,46.07,4.26,32.68,19.38,19.38,2.52
1678,81.71,20.73,43.7,65.2,65.2,11.59
1679,45,2.44,31.54,15.5,15.5,2.05
1680,32.15,1.61,15.93,7.53,7.53,1.83
1681,34.25,2.09,28.39,13.75,13.75,3.17
1682,70.77,3.77,37.48,36.4,36.4,1.75
1683,58.63,5.31,32.32,21.17,21.17,6.17
1684,52.38,1.96,20.84,18.77,18.77,1.96
1685,41.49,3.18,36.11,20.9,20.9,3.12
1686,85.73,10.04,38.8,31.19,31.19,2.54
1687,60.04,4.45,31.43,17.99,17.99,1.01
1688,86.07,10.71,48.43,77.89,77.89,8.85
1689,18.47,2.97,13.78,5.05,5.05,1.89
1690,29.42,5.67,18.23,14.55,14.55,2.3
1691,26.79,4.65,19.59,4.1,4.1,1.18
1692,39.25,5.23,15.47,7.45,7.45,1.93
1693,45.56,3.14,31.24,20.6,20.6,7.07
1694,88.98,6.38,35.01,39.82,39.82,4.26
1695,44.78,5.8,23.54,12.79,12.79,2.73
1696,37.3,5.27,31.43,15.35,15.35,3.2
1697,48.87,10.09,27.53,20.72,20.72,1.95
1698,57.86,5.2,28.54,13.52,13.52,2.47
1699,43.06,9.97,23.12,13.95,13.95,2.55
